XPATH,Parent_Key_Val,Attribute,Is_key_attribute,Is_Configurable_Attribute,Default_Value
/interfaces/interface,,name,True,True,LO-MGMT
/interfaces/interface/subinterfaces/subinterface,"interface.name=[LO-MGMT],
subinterface.index=[1]",index,True,True,1
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[LO-MGMT],
subinterface.index=[1]",index,False,True,1
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[LO-MGMT],
subinterface.index=[1]",description,False,True,IOA
/interfaces/interface/subinterfaces/subinterface/config,"interface.name=[LO-MGMT],
subinterface.index=[1]",enabled,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",index,False,False,1
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",description,False,False,IOA
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",enabled,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",name,False,False,LO-MGMT
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",admin-status,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",oper-status,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",logical,False,False,true
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address,"interface.name=[LO-MGMT],
subinterface.index=[1]",ip,True,True,IOA
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/config,"interface.name=[LO-MGMT],
subinterface.index=[1],
address.ip=[11.11.11.135]",ip,False,True,IOA
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/config,"interface.name=[LO-MGMT],
subinterface.index=[1],
address.ip=[11.11.11.135]",prefix-length,False,True,32
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/state,"interface.name=[LO-MGMT],
subinterface.index=[1],
address.ip=[11.11.11.135]",ip,False,False,IOA
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/state,"interface.name=[LO-MGMT],
subinterface.index=[1],
address.ip=[11.11.11.135]",prefix-length,False,False,32
/interfaces/interface/subinterfaces/subinterface/ipv4/addresses/address/state,"interface.name=[LO-MGMT],
subinterface.index=[1],
address.ip=[11.11.11.135]",origin,False,False,STATIC
/interfaces/interface/subinterfaces/subinterface/ipv4/config,"interface.name=[LO-MGMT],
subinterface.index=[1]",enabled,False,True,true
/interfaces/interface/subinterfaces/subinterface/ipv4/config,"interface.name=[LO-MGMT],
subinterface.index=[1]",mtu,False,True,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/config,"interface.name=[LO-MGMT],
subinterface.index=[1]",dhcp-client,False,True,false
/interfaces/interface/subinterfaces/subinterface/ipv4/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",enabled,False,False,true
/interfaces/interface/subinterfaces/subinterface/ipv4/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",mtu,False,False,IGNORE
/interfaces/interface/subinterfaces/subinterface/ipv4/state,"interface.name=[LO-MGMT],
subinterface.index=[1]",dhcp-client,False,False,false
